"V1"	"V2"
"1"	257	48
"2"	257	108
"3"	243	51
"4"	243	123
"5"	244	11
"6"	244	28
"7"	137	21
"8"	137	23
"9"	136	29
"10"	136	32
"11"	180	27
"12"	180	40
"13"	146	20
"14"	146	22
"15"	166	36
"16"	166	37
"17"	209	113
"18"	209	114
"19"	164	103
"20"	164	124
"21"	156	12
"22"	156	15
"23"	184	126
"24"	184	128
"25"	177	53
"26"	177	80
"27"	178	17
"28"	178	69
"29"	174	112
"30"	174	116
"31"	212	97
"32"	212	101
"33"	175	84
"34"	175	119
"35"	160	110
"36"	160	111
"37"	163	81
"38"	163	82
"39"	183	35
"40"	183	91
"41"	187	65
"42"	187	66
"43"	193	10
"44"	193	45
"45"	195	16
"46"	195	26
"47"	208	44
"48"	208	52
"49"	210	47
"50"	210	68
"51"	206	33
"52"	206	34
"53"	228	85
"54"	228	120
"55"	226	89
"56"	226	117
"57"	230	98
"58"	230	99
"59"	224	86
"60"	224	88
"61"	227	106
"62"	227	107
"63"	215	2
"64"	215	7
"65"	234	4
"66"	234	5
"67"	236	104
"68"	236	105
"69"	237	1
"70"	237	95
"71"	251	50
"72"	251	71
"73"	256	54
"74"	256	56
"75"	253	43
"76"	253	122
"77"	242	243
"78"	242	244
"79"	133	137
"80"	133	41
"81"	134	136
"82"	134	39
"83"	169	180
"84"	169	13
"85"	145	146
"86"	145	90
"87"	165	166
"88"	165	125
"89"	179	209
"90"	179	127
"91"	155	156
"92"	155	75
"93"	176	177
"94"	176	178
"95"	211	212
"96"	211	100
"97"	159	160
"98"	159	118
"99"	162	163
"100"	162	83
"101"	186	187
"102"	186	70
"103"	192	193
"104"	192	59
"105"	207	208
"106"	207	79
"107"	218	228
"108"	218	92
"109"	222	226
"110"	222	96
"111"	223	224
"112"	223	109
"113"	225	227
"114"	225	115
"115"	214	215
"116"	214	8
"117"	235	236
"118"	235	6
"119"	255	256
"120"	255	58
"121"	241	257
"122"	241	242
"123"	132	133
"124"	132	134
"125"	144	145
"126"	144	102
"127"	152	179
"128"	152	129
"129"	154	155
"130"	154	14
"131"	168	176
"132"	168	31
"133"	173	174
"134"	173	211
"135"	191	192
"136"	191	60
"137"	204	207
"138"	204	210
"139"	221	222
"140"	221	87
"141"	213	214
"142"	213	9
"143"	233	234
"144"	233	235
"145"	254	255
"146"	254	49
"147"	240	241
"148"	240	38
"149"	131	42
"150"	131	132
"151"	143	144
"152"	143	165
"153"	149	152
"154"	149	164
"155"	153	154
"156"	153	184
"157"	172	173
"158"	172	94
"159"	190	191
"160"	190	77
"161"	203	204
"162"	203	46
"163"	220	221
"164"	220	230
"165"	205	213
"166"	205	121
"167"	232	233
"168"	232	3
"169"	252	254
"170"	252	55
"171"	135	131
"172"	135	30
"173"	151	153
"174"	151	168
"175"	167	172
"176"	167	175
"177"	189	190
"178"	189	78
"179"	202	203
"180"	202	61
"181"	219	220
"182"	219	223
"183"	250	251
"184"	250	252
"185"	138	135
"186"	138	19
"187"	158	167
"188"	158	93
"189"	201	202
"190"	201	64
"191"	217	218
"192"	217	219
"193"	249	250
"194"	249	63
"195"	139	138
"196"	139	18
"197"	157	158
"198"	157	159
"199"	200	201
"200"	200	67
"201"	216	217
"202"	216	225
"203"	248	249
"204"	248	253
"205"	140	139
"206"	140	169
"207"	150	151
"208"	150	157
"209"	199	200
"210"	199	72
"211"	247	248
"212"	247	25
"213"	141	140
"214"	141	143
"215"	148	149
"216"	148	150
"217"	198	199
"218"	198	73
"219"	246	247
"220"	246	24
"221"	142	141
"222"	142	148
"223"	197	198
"224"	197	74
"225"	245	246
"226"	245	57
"227"	147	142
"228"	147	162
"229"	196	197
"230"	196	76
"231"	194	195
"232"	194	196
"233"	188	189
"234"	188	194
"235"	185	186
"236"	185	188
"237"	181	183
"238"	181	185
"239"	171	181
"240"	171	206
"241"	161	147
"242"	161	171
"243"	170	161
"244"	170	216
"245"	182	170
"246"	182	205
"247"	229	182
"248"	229	232
"249"	231	229
"250"	231	237
"251"	238	231
"252"	238	62
"253"	239	238
"254"	239	245
"255"	130	240
"256"	130	239
