"V1"	"V2"
257	48
257	108
243	51
243	123
137	21
137	23
136	29
136	32
156	14
156	15
203	126
203	128
177	53
177	80
178	17
178	69
180	27
180	40
165	36
165	125
145	20
145	102
159	110
159	111
212	97
212	101
175	84
175	119
161	103
161	124
208	113
208	114
163	81
163	82
182	35
182	91
186	65
186	66
192	10
192	45
194	16
194	26
207	44
207	79
209	47
209	68
205	33
205	34
229	85
229	120
226	89
226	117
230	98
230	99
225	88
225	109
228	106
228	107
215	2
215	7
234	4
234	5
236	104
236	105
237	1
237	95
251	50
251	71
255	43
255	122
256	54
256	56
245	257
245	28
242	243
242	11
133	137
133	41
134	136
134	39
155	156
155	12
172	203
172	94
176	177
176	178
166	180
166	13
164	165
164	37
144	145
144	90
158	159
158	118
211	212
211	100
179	208
179	127
162	163
162	83
185	186
185	70
191	192
191	59
206	207
206	52
219	229
219	92
223	226
223	96
224	225
224	86
227	228
227	115
214	215
214	8
235	236
235	6
250	251
250	255
254	256
254	58
241	245
241	242
132	133
132	134
154	155
154	75
160	172
160	93
167	176
167	31
143	164
143	22
174	211
174	112
152	179
152	129
190	191
190	60
204	206
204	209
222	223
222	230
213	214
213	9
233	234
233	235
253	254
253	49
240	241
240	38
131	42
131	132
153	154
153	160
142	143
142	144
173	174
173	116
189	190
189	77
202	204
202	61
221	222
221	87
232	233
232	3
252	253
252	55
135	131
135	30
151	153
151	167
169	173
169	175
188	189
188	78
201	202
201	46
220	221
220	224
231	232
231	237
249	250
249	252
138	135
138	19
149	151
149	166
157	158
157	169
200	201
200	64
218	219
218	220
248	249
248	63
139	138
139	18
150	157
150	161
199	200
199	67
217	218
217	227
247	248
247	25
140	139
140	149
148	150
148	152
198	199
198	72
246	247
246	24
141	140
141	142
197	198
197	73
244	246
244	57
146	141
146	148
196	197
196	74
147	146
147	162
195	196
195	76
193	194
193	195
187	188
187	193
184	185
184	187
181	182
181	184
170	181
170	205
168	147
168	170
171	168
171	217
183	171
183	121
210	183
210	213
216	210
216	231
238	216
238	62
239	238
239	244
130	240
130	239
