id	ph
642	invasive 
662	invasive 
665	carrier
666	carrier
667	carrier
669	carrier
670	invasive 
671	invasive 
672	invasive 
684	invasive 
932	carrier
939	carrier
940	carrier
942	carrier
946	carrier
948	carrier
949	carrier
950	carrier
952	carrier
954	carrier
955	carrier
957	carrier
958	carrier
973	carrier
977	carrier
978	carrier
979	carrier
981	carrier
982	carrier
992	carrier
993	carrier
994	carrier
1169	invasive 
1170	carrier
1178	invasive 
1179	carrier
1180	carrier
1207	invasive 
1212	carrier
1571	carrier
1572	carrier
1573	carrier
1574	carrier
1578	carrier
1582	carrier
1583	carrier
1587	carrier
1592	carrier
1622	carrier
1636	carrier
1641	carrier
1650	carrier
1652	carrier
1659	carrier
1893	invasive 
1941	carrier
4193	carrier
8150	carrier
8157	carrier
8159	carrier
14765	invasive 
14776	invasive 
15024	invasive 
15032	invasive 
15035	invasive 
15154	invasive 
15174	invasive 
15176	invasive 
15238	invasive 
15242	invasive 
15255	invasive 
15261	invasive 
15315	invasive 
15316	invasive 
15319	invasive 
15325	invasive 
15330	invasive 
15336	invasive 
15342	invasive 
15344	invasive 
29738	invasive 
29739	invasive 
29740	invasive 
29913	invasive 
29914	invasive 
29915	invasive 
29916	invasive 
29917	invasive 
29919	invasive 
29920	invasive 
29921	invasive 
29922	invasive 
29923	invasive 
29925	invasive 
29926	invasive 
29927	invasive 
30185	invasive 
30186	invasive 
30187	invasive 
30188	invasive 
30189	invasive 
30190	carrier
30191	carrier
30192	carrier
30193	carrier
30194	invasive 
30195	invasive 
30196	invasive 
30197	invasive 
30198	invasive 
30200	invasive 
30201	invasive 
30202	invasive 
30203	invasive 
30204	carrier
30205	carrier
30206	carrier
30207	carrier
30208	carrier
30232	invasive 
30233	invasive 
30279	carrier
30282	carrier
36202	invasive 
36203	carrier
41784	invasive 
41785	carrier
41786	carrier
41787	invasive 
